:Product: Daily Geomagnetic Data     quar_DGD.txt
:Issued: 2130 UT 07 Jan 2018
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#             Current Quarter Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2017 10 01    10  3 1 3 2 2 2 2 3    23  3 1 4 6 4 3 2 2    11  3 2 3 2 2 3 2 3
2017 10 02     6  2 3 3 2 1 0 0 1    13  2 3 2 4 5 1 0 0     7  2 4 2 2 2 1 0 0
2017 10 03     8  2 3 4 2 1 0 1 1     9  2 3 4 3 0 1 0 1     8  3 3 3 2 0 1 1 1
2017 10 04     5  2 3 0 1 2 0 1 2     2  1 1 0 0 1 0 1 1     5  2 3 1 1 1 0 1 2
2017 10 05     6  3 1 0 1 1 1 2 3     3  1 0 0 0 0 2 1 2     7  3 1 1 1 1 1 1 3
2017 10 06     6  2 2 2 1 2 2 1 2    11  2 3 2 2 4 3 1 1     9  3 3 2 2 2 2 1 2
2017 10 07     5  1 1 1 1 2 2 2 2     3  1 0 0 0 1 2 1 2     5  2 1 1 1 1 1 2 1
2017 10 08     3  1 2 0 0 1 2 1 0     2  1 2 0 2 0 0 0 0     4  1 2 1 0 1 1 1 1
2017 10 09     2  2 0 0 1 1 1 1 0     0  0 0 0 0 0 0 0 0     3  2 1 1 1 0 0 0 1
2017 10 10    13  0 1 0 1 1 1 6 3     1  0 0 0 2 1 0 0 0     4  0 0 0 1 1 0 1 3
2017 10 11    21  3 4 4 4 4 3 3 3    58  2 5 6 7 6 6 3 3    30  3 4 5 4 4 5 4 4
2017 10 12    20  4 3 3 4 4 3 2 4    65  4 4 7 6 7 6 2 3    29  5 4 4 4 5 4 3 4
2017 10 13    26  3 4 2 4 4 4 4 5    52  3 3 2 6 7 6 5 4    42  3 5 2 4 6 5 6 5
2017 10 14    26  5 4 4 5 4 2 2 3    49  4 5 6 7 5 4 3 2    31  5 4 5 5 4 4 3 3
2017 10 15    21  4 5 3 4 4 3 2 1    49  3 5 5 7 6 5 2 2    26  4 5 3 4 5 4 3 1
2017 10 16     6  1 2 1 2 2 1 3 1    10  1 2 3 4 3 1 2 1     9  2 3 2 2 2 1 3 2
2017 10 17     4  1 1 2 2 2 1 1 0    13  2 1 2 5 4 2 1 0     6  2 1 2 2 2 1 1 1
2017 10 18     4  1 1 2 1 1 1 1 2     7  0 0 2 4 3 0 1 1     5  1 2 1 1 1 0 1 2
2017 10 19     9  3 2 2 2 3 2 2 2    22  2 2 5 4 4 5 2 2    12  3 3 2 2 2 3 3 3
2017 10 20     5  3 2 2 1 1 1 0 1    21  2 2 5 5 5 1 0 1     8  4 2 2 2 2 1 1 2
2017 10 21    13  2 2 2 1 2 5 2 3    11  0 0 3 4 4 2 2 1    10  2 2 2 2 2 3 3 3
2017 10 22     6  3 1 1 1 2 1 1 2     3  2 2 1 1 1 0 0 1     6  3 2 1 1 1 1 1 2
2017 10 23     3  2 0 1 1 1 1 1 1     7  1 1 2 4 3 0 0 0     6  3 1 2 2 1 1 1 1
2017 10 24    13  1 2 2 2 4 3 2 4    28  1 0 2 4 6 6 3 3    18  2 1 2 3 4 5 3 4
2017 10 25    15  3 4 4 3 2 2 2 3    35  4 4 7 5 3 2 2 2    21  4 4 5 3 2 3 3 4
2017 10 26    16  4 2 4 4 3 3 2 1    41  2 2 5 6 6 6 3 2    20  4 2 4 4 4 4 3 1
2017 10 27     4  2 2 1 1 1 0 2 1     4  1 1 1 3 1 0 1 1     5  3 1 1 1 0 0 2 2
2017 10 28     5  1 2 2 2 1 1 1 1    13  1 1 5 5 1 0 0 0     6  2 2 2 2 1 1 1 1
2017 10 29     3  1 2 0 1 2 1 1 0     2  1 1 1 2 1 0 0 0     4  1 2 1 1 1 1 1 0
2017 10 30     1  0 1 0 0 1 0 0 0     0  0 0 0 0 0 0 0 0     3  1 1 0 0 1 0 0 1
2017 10 31     2  1 0 0 0 2 1 0 0     1  0 0 0 2 1 0 0 0     3  1 0 0 1 2 0 0 0
2017 11 01     2  1 0 0 1 1 1 1 1     2  0 0 0 1 3 0 0 0     4  1 0 1 1 1 1 1 1
2017 11 02    12  3 2 1 1 2 1 4 4     3  0 0 2 2 1 0 1 1     8  3 2 2 1 2 1 2 3
2017 11 03     7  3 2 2 2 3 0 1 1    15  2 1 2 5 5 1 0 1     9  4 2 2 2 3 1 1 1
2017 11 04     2  1 1 0 1 1 1 0 1     3  0 0 1 1 2 2 1 0     4  1 1 1 1 1 1 1 1
2017 11 05     1  1 0 0 0 1 0 0 0     0  0 0 0 0 0 0 0 0     3  1 1 0 0 0 0 1 1
2017 11 06     0  0 0 0 0 0 0 1 0     0  0 0 0 0 0 0 0 0     2  1 0 0 0 0 0 1 0
2017 11 07    26  1 3 4 4 3 3 4 6    42  0 2 5 6 4 5 6 5    36  1 3 4 5 4 4 6 6
2017 11 08    39  6 5 3 5 5 4 3 4    82  5 6 6 7 7 7 3 3    47  6 6 3 5 5 5 3 5
2017 11 09    11  3 3 2 2 2 3 2 3    45  3 3 6 6 6 5 4 3    20  4 4 3 3 3 4 3 4
