:Product: Daily Particle Data        quar_DPD.txt
:Issued: 0223 UT 07 Jan 2018
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comments and suggestions to SWPC.Webmaster@noaa.gov
#
#               Current Quarter Daily Particle Data
#
#              GOES-15 Proton Fluence     GOES-15 Electron Fluence     Neutron
#            --- Protons/cm2-day-sr ---  -- Electrons/cm2-day-sr --    Monitor
#  Date       >1 MeV  >10 MeV  >100 MeV  >0.8 MeV   >2 MeV           % of bkgd
#-------------------------------------------------------------------------------
2017 10 01    4.9e+06  1.4e+04  3.4e+03   4.0e+09    4.8e+08          -999.99
2017 10 02    4.1e+06  1.4e+04  3.4e+03   7.4e+09    1.1e+09          -999.99
2017 10 03    2.8e+06  1.4e+04  3.5e+03   3.0e+09    3.3e+08          -999.99
2017 10 04    1.9e+06  1.4e+04  3.3e+03   2.7e+09    3.7e+08          -999.99
2017 10 05    3.7e+06  1.4e+04  3.3e+03   1.2e+09    7.6e+07          -999.99
2017 10 06    1.1e+07  1.4e+04  3.4e+03   2.9e+08    5.0e+06          -999.99
2017 10 07    1.8e+06  1.4e+04  3.4e+03   4.3e+08    6.8e+06          -999.99
2017 10 08    2.8e+06  1.4e+04  3.2e+03   2.8e+08    7.9e+06          -999.99
2017 10 09    7.1e+05  1.4e+04  3.4e+03   4.1e+08    2.0e+07          -999.99
2017 10 10    4.6e+08  1.5e+04  3.5e+03   4.4e+08    2.4e+07          -999.99
2017 10 11    7.7e+08  1.8e+04  3.3e+03   4.5e+08    1.7e+06          -999.99
2017 10 12    1.8e+07  1.5e+04  3.3e+03   2.3e+09    5.4e+07          -999.99
2017 10 13    4.2e+07  1.5e+04  3.3e+03   3.3e+09    1.1e+08          -999.99
2017 10 14    3.5e+07  1.5e+04  3.2e+03   6.5e+09    7.6e+08          -999.99
2017 10 15    5.9e+07  1.4e+04  3.3e+03   6.5e+09    1.1e+09          -999.99
2017 10 16    8.8e+06  1.4e+04  3.5e+03   6.7e+09    1.2e+09          -999.99
2017 10 17    2.8e+07  1.4e+04  3.6e+03   1.1e+10    2.6e+09          -999.99
2017 10 18    3.2e+06  1.5e+04  3.8e+03   1.1e+10    2.9e+09          -999.99
2017 10 19    2.0e+07  1.6e+04  3.5e+03   2.1e+09    2.1e+08          -999.99
2017 10 20    8.8e+06  1.5e+04  3.5e+03   1.5e+09    2.5e+07          -999.99
2017 10 21    1.2e+07  1.4e+04  3.3e+03   1.9e+09    8.6e+07          -999.99
2017 10 22    2.5e+06  1.4e+04  3.3e+03   5.4e+08    9.1e+06          -999.99
2017 10 23    2.3e+07  1.4e+04  3.4e+03   6.6e+08    1.8e+07          -999.99
2017 10 24    7.6e+07  1.4e+04  3.2e+03   6.7e+08    2.8e+07          -999.99
2017 10 25    1.1e+07  1.4e+04  3.1e+03   2.4e+09    3.5e+07          -999.99
2017 10 26    2.9e+08  1.5e+04  3.4e+03   3.0e+09    7.2e+07          -999.99
