:Product: Daily Particle Data        quar_DPD.txt
:Issued: 0223 UT 07 Apr 2018
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comments and suggestions to SWPC.Webmaster@noaa.gov
#
#               Current Quarter Daily Particle Data
#
#              GOES-15 Proton Fluence     GOES-15 Electron Fluence     Neutron
#            --- Protons/cm2-day-sr ---  -- Electrons/cm2-day-sr --    Monitor
#  Date       >1 MeV  >10 MeV  >100 MeV  >0.8 MeV   >2 MeV           % of bkgd
#-------------------------------------------------------------------------------
2018 01 01    5.6e+05  1.6e+04  3.4e+03   5.0e+08    1.6e+06          -999.99
2018 01 02    4.7e+05  1.5e+04  3.6e+03   1.1e+09    2.3e+06          -999.99
2018 01 03    4.0e+05  1.6e+04  3.5e+03   9.7e+08    2.0e+06          -999.99
2018 01 04    3.2e+05  1.6e+04  3.6e+03   7.6e+08    1.6e+06          -999.99
2018 01 05    5.3e+05  1.6e+04  3.6e+03   6.7e+08    2.0e+06          -999.99
2018 01 06    3.7e+05  1.7e+04  4.0e+03   5.2e+08    1.5e+06          -999.99
2018 01 07    4.9e+05  1.6e+04  3.7e+03   4.8e+08    1.6e+06          -999.99
2018 01 08    8.4e+05  1.6e+04  3.4e+03   1.3e+08    3.5e+05          -999.99
2018 01 09    5.2e+05  1.6e+04  3.5e+03   2.5e+08    1.5e+05          -999.99
2018 01 10    6.8e+05  1.6e+04  3.5e+03   8.0e+08    4.4e+05          -999.99
2018 01 11    6.5e+05  1.6e+04  3.6e+03   8.1e+08    6.8e+05          -999.99
2018 01 12    8.0e+05  1.7e+04  3.8e+03   5.3e+08    4.8e+05          -999.99
2018 01 13    9.9e+05  1.6e+04  3.8e+03   1.6e+08    1.2e+05          -999.99
2018 01 14    1.0e+06  1.6e+04  3.6e+03   3.9e+08    1.5e+05          -999.99
2018 01 15    1.3e+06  1.6e+04  3.9e+03   1.8e+09    3.4e+06          -999.99
2018 01 16    6.6e+05  1.7e+04  3.8e+03   2.0e+09    4.8e+06          -999.99
2018 01 17    6.8e+05  1.6e+04  3.5e+03   1.9e+09    6.5e+06          -999.99
2018 01 18    1.2e+06  1.6e+04  3.6e+03   1.9e+09    9.4e+06          -999.99
2018 01 19    9.1e+05  1.6e+04  3.7e+03   4.6e+08    9.8e+05          -999.99
2018 01 20    4.4e+05  1.6e+04  3.4e+03   2.3e+08    1.6e+05          -999.99
2018 01 21    6.5e+05  1.6e+04  3.5e+03   3.9e+08    2.1e+05          -999.99
2018 01 22    6.6e+05  1.8e+04  3.7e+03   2.4e+09    8.8e+06          -999.99
2018 01 23    4.5e+05  1.6e+04  3.6e+03   4.0e+09    4.2e+07          -999.99
2018 01 24    8.9e+05  1.6e+04  3.6e+03   3.6e+09    3.8e+07          -999.99
2018 01 25    6.3e+05  1.6e+04  3.5e+03   7.7e+08    2.0e+06          -999.99
2018 01 26    3.8e+05  1.6e+04  3.4e+03   1.4e+09    5.3e+06          -999.99
2018 01 27    3.4e+05  1.6e+04  3.4e+03   1.6e+09    7.1e+06          -999.99
2018 01 28    3.6e+05  1.6e+04  3.5e+03   1.3e+09    7.7e+06          -999.99
2018 01 29    3.9e+05  1.5e+04  3.3e+03   6.6e+08    3.2e+06          -999.99
2018 01 30    3.3e+05  1.6e+04  3.8e+03   4.0e+08    1.4e+06          -999.99
2018 01 31    4.3e+05  1.6e+04  3.5e+03   3.6e+08    9.0e+05          -999.99
2018 02 01    3.9e+05  1.6e+04  3.5e+03   3.9e+08    1.1e+06          -999.99
2018 02 02    4.2e+05  1.6e+04  3.4e+03   5.3e+08    1.8e+06          -999.99
2018 02 03    4.4e+05  1.6e+04  3.5e+03   5.0e+08    1.9e+06          -999.99
2018 02 04    4.3e+05  1.6e+04  3.6e+03   3.3e+08    1.1e+06          -999.99
2018 02 05    4.3e+05  1.7e+04  3.6e+03   1.7e+08    2.2e+05          -999.99
2018 02 06    5.8e+05  1.6e+04  3.4e+03   2.2e+08    3.2e+05          -999.99
2018 02 07    6.9e+05  1.6e+04  3.5e+03   1.9e+08    3.2e+05          -999.99
2018 02 08    7.2e+05  1.6e+04  3.5e+03   1.2e+08    2.7e+05          -999.99
2018 02 09    5.6e+05  1.7e+04  4.0e+03   1.4e+08    2.2e+05          -999.99
2018 02 10    4.1e+05  1.7e+04  3.6e+03   4.6e+07    1.1e+05          -999.99
2018 02 11    3.9e+05  1.7e+04  3.8e+03   4.3e+07    7.3e+04          -999.99
2018 02 12    8.3e+05  1.7e+04  3.4e+03   5.7e+07    8.5e+04          -999.99
2018 02 13    1.3e+06  1.7e+04  3.5e+03   2.9e+07    7.5e+04          -999.99
2018 02 14    1.7e+06  1.7e+04  3.7e+03   3.3e+07    6.0e+04          -999.99
2018 02 15    2.7e+06  1.6e+04  3.6e+03   1.1e+08    6.7e+04          -999.99
2018 02 16    1.4e+06  1.6e+04  3.5e+03   1.9e+08    6.2e+04          -999.99
2018 02 17    9.6e+05  1.7e+04  3.5e+03   8.6e+08    2.1e+06          -999.99
2018 02 18    3.1e+06  1.5e+04  3.5e+03   3.2e+09    6.2e+07          -999.99
2018 02 19    3.4e+06  1.6e+04  3.4e+03   6.2e+09    3.2e+08          -999.99
2018 02 20    1.7e+06  1.6e+04  3.7e+03   8.5e+09    4.7e+08          -999.99
2018 02 21    2.1e+06  1.7e+04  3.5e+03   6.0e+09    3.0e+08          -999.99
2018 02 22    2.2e+06  1.6e+04  3.6e+03   3.2e+09    1.1e+08          -999.99
2018 02 23    1.4e+06  1.6e+04  3.4e+03   2.1e+09    3.9e+07          -999.99
2018 02 24    5.0e+05  1.6e+04  3.5e+03   4.4e+09    9.1e+07          -999.99
2018 02 25    6.4e+05  1.5e+04  3.4e+03   4.6e+09    1.1e+08          -999.99
2018 02 26    6.0e+05  1.5e+04  3.3e+03   3.3e+09    8.4e+07          -999.99
