:Product: Daily Particle Data        quar_DPD.txt
:Issued: 0223 UT 07 Jul 2018
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comments and suggestions to SWPC.Webmaster@noaa.gov
#
#               Current Quarter Daily Particle Data
#
#              GOES-15 Proton Fluence     GOES-15 Electron Fluence     Neutron
#            --- Protons/cm2-day-sr ---  -- Electrons/cm2-day-sr --    Monitor
#  Date       >1 MeV  >10 MeV  >100 MeV  >0.8 MeV   >2 MeV           % of bkgd
#-------------------------------------------------------------------------------
2018 04 01    6.3e+05  1.6e+04  3.4e+03   2.5e+09    1.0e+08          -999.99
2018 04 02    5.0e+05  1.6e+04  3.3e+03   2.4e+09    1.1e+08          -999.99
2018 04 03    5.6e+05  1.6e+04  3.5e+03   1.9e+09    8.5e+07          -999.99
2018 04 04    8.8e+05  1.6e+04  3.5e+03   1.1e+09    5.3e+07          -999.99
2018 04 05    8.0e+05  1.6e+04  3.4e+03   4.6e+08    1.5e+07          -999.99
2018 04 06    4.5e+05  1.7e+04  3.5e+03   4.1e+08    1.2e+07          -999.99
2018 04 07    5.0e+05  1.7e+04  3.6e+03   3.6e+08    1.5e+07          -999.99
2018 04 08    6.4e+05  1.6e+04  3.6e+03   3.4e+08    1.6e+07          -999.99
2018 04 09    1.1e+06  1.6e+04  3.5e+03   3.1e+08    6.0e+06          -999.99
2018 04 10    8.1e+05  1.6e+04  3.3e+03   2.2e+09    4.2e+07          -999.99
2018 04 11    1.5e+06  1.6e+04  3.5e+03   6.4e+09    3.2e+08          -999.99
2018 04 12    8.0e+05  1.7e+04  3.6e+03   1.0e+10    8.0e+08          -999.99
2018 04 13    9.3e+05  1.7e+04  3.4e+03   5.7e+09    4.9e+08          -999.99
2018 04 14    1.5e+06  1.7e+04  3.7e+03   5.1e+09    3.5e+08          -999.99
2018 04 15    8.0e+05  1.8e+04  3.7e+03   3.7e+09    2.3e+08          -999.99
2018 04 16    6.8e+05  1.7e+04  4.2e+03   3.1e+09    1.8e+08          -999.99
2018 04 17    9.0e+05  1.7e+04  3.4e+03   2.7e+09    1.7e+08          -999.99
2018 04 18    7.3e+05  1.7e+04  3.5e+03   2.0e+09    1.0e+08          -999.99
2018 04 19    8.8e+05  1.7e+04  3.5e+03   7.3e+08    3.5e+07          -999.99
2018 04 20    2.9e+06  1.6e+04  3.2e+03   1.7e+09    2.8e+07          -999.99
2018 04 21    8.5e+05  1.6e+04  3.1e+03   7.8e+09    5.5e+08          -999.99
2018 04 22    1.5e+06  1.7e+04  3.7e+03   1.1e+10    8.8e+08          -999.99
2018 04 23    1.6e+06  1.7e+04  3.5e+03   9.9e+09    7.3e+08          -999.99
2018 04 24    2.3e+06  1.8e+04  3.7e+03   6.9e+09    4.8e+08          -999.99
2018 04 25    1.2e+06  1.7e+04  3.5e+03   3.3e+09    1.6e+08          -999.99
2018 04 26    1.2e+06  1.7e+04  3.5e+03   2.7e+09    1.7e+08          -999.99
2018 04 27    1.7e+06  1.7e+04  3.5e+03   2.6e+09    1.2e+08          -999.99
2018 04 28    6.7e+05  1.8e+04  3.5e+03   1.7e+09    5.4e+07          -999.99
2018 04 29    6.9e+05  1.8e+04  3.7e+03   1.7e+09    5.5e+07          -999.99
2018 04 30    6.8e+05  1.7e+04  3.5e+03   1.4e+09    4.0e+07          -999.99
2018 05 01    7.1e+05  1.7e+04  3.3e+03   1.2e+09    3.3e+07          -999.99
2018 05 02    7.0e+05  1.8e+04  3.7e+03   8.7e+08    2.6e+07          -999.99
2018 05 03    1.1e+06  1.8e+04  3.7e+03   8.5e+08    2.7e+07          -999.99
2018 05 04    1.1e+06  1.7e+04  3.7e+03   7.0e+08    2.6e+07          -999.99
2018 05 05    1.3e+06  1.8e+04  3.6e+03   3.4e+08    7.4e+06          -999.99
2018 05 06    3.4e+06  1.7e+04  3.3e+03   4.7e+09    2.0e+08          -999.99
2018 05 07    1.0e+06  1.7e+04  3.6e+03   8.2e+09    7.3e+08          -999.99
2018 05 08    2.8e+06  1.7e+04  3.3e+03   7.7e+09    7.1e+08          -999.99
2018 05 09    1.8e+06  1.7e+04  3.4e+03   1.1e+10    1.6e+09          -999.99
2018 05 10    1.8e+06  1.7e+04  3.6e+03   1.1e+10    2.3e+09          -999.99
2018 05 11    1.1e+06  1.7e+04  3.6e+03   8.7e+09    1.3e+09          -999.99
2018 05 12    9.3e+05  1.8e+04  3.5e+03   5.5e+09    4.2e+08          -999.99
2018 05 13    1.1e+06  1.8e+04  3.9e+03   5.6e+09    3.6e+08          -999.99
2018 05 14    8.4e+05  1.8e+04  3.6e+03   6.5e+09    5.7e+08          -999.99
2018 05 15    9.1e+05  1.8e+04  3.4e+03   6.7e+09    7.6e+08          -999.99
2018 05 16    1.2e+06  1.9e+04  3.7e+03   5.0e+09    5.0e+08          -999.99
2018 05 17    5.1e+05  1.7e+04  3.3e+03   1.7e+09    1.3e+08          -999.99
2018 05 18    2.4e+05  1.8e+04  3.3e+03   1.2e+09    2.5e+07          -999.99
2018 05 19    3.0e+05  1.7e+04  3.5e+03   1.4e+09    2.4e+07          -999.99
2018 05 20    2.7e+05  1.8e+04  3.7e+03   1.3e+09    2.8e+07          -999.99
2018 05 21    4.0e+05  1.7e+04  3.7e+03   1.4e+09    3.9e+07          -999.99
2018 05 22    1.9e+06  1.7e+04  3.4e+03   9.6e+08    3.0e+07          -999.99
