:Product: Daily Particle Data        quar_DPD.txt
:Issued: 0223 UT 07 Oct 2018
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comments and suggestions to SWPC.Webmaster@noaa.gov
#
#               Current Quarter Daily Particle Data
#
#              GOES-15 Proton Fluence     GOES-15 Electron Fluence     Neutron
#            --- Protons/cm2-day-sr ---  -- Electrons/cm2-day-sr --    Monitor
#  Date       >1 MeV  >10 MeV  >100 MeV  >0.8 MeV   >2 MeV           % of bkgd
#-------------------------------------------------------------------------------
2018 07 01    1.5e+06  2.0e+04  3.8e+03   6.4e+09    2.5e+08          -999.99
2018 07 02    1.7e+06  1.9e+04  3.8e+03   5.9e+09    2.3e+08          -999.99
2018 07 03    2.2e+06  1.8e+04  3.9e+03   5.1e+09    2.0e+08          -999.99
2018 07 04    1.8e+06  1.9e+04  3.8e+03   2.8e+09    6.2e+07          -999.99
2018 07 05    1.2e+06  1.9e+04  3.8e+03   1.3e+09    1.8e+07          -999.99
2018 07 06    1.2e+06  2.0e+04  3.9e+03   1.1e+09    5.8e+06          -999.99
2018 07 07    8.6e+05  1.9e+04  3.8e+03   1.8e+09    9.2e+06          -999.99
2018 07 08    8.3e+05  1.8e+04  3.7e+03   2.3e+09    1.3e+07          -999.99
2018 07 09    8.4e+05  1.8e+04  3.7e+03   2.3e+09    1.7e+07          -999.99
2018 07 10    7.9e+05  2.0e+04  3.7e+03   8.5e+08    5.5e+06          -999.99
2018 07 11    8.3e+05  1.9e+04  3.5e+03   4.4e+08    2.3e+06          -999.99
2018 07 12    6.7e+05  1.8e+04  3.7e+03   4.3e+08    2.2e+06          -999.99
2018 07 13    6.4e+05  1.8e+04  3.6e+03   6.4e+08    3.6e+06          -999.99
2018 07 14    4.5e+05  1.9e+04  3.9e+03   8.6e+08    4.5e+06          -999.99
2018 07 15    5.8e+05  1.9e+04  4.0e+03   9.4e+08    5.9e+06          -999.99
2018 07 16    5.2e+05  1.9e+04  3.7e+03   3.7e+08    1.0e+06          -999.99
2018 07 17    4.4e+05  1.8e+04  3.4e+03   1.4e+08    2.0e+05          -999.99
2018 07 18    2.9e+05  1.9e+04  3.6e+03   7.9e+07    2.4e+05          -999.99
2018 07 19    2.9e+05  1.8e+04  3.7e+03   1.1e+08    3.4e+05          -999.99
2018 07 20    6.1e+05  1.8e+04  3.8e+03   2.1e+08    4.8e+05          -999.99
2018 07 21    4.6e+05  1.8e+04  3.6e+03   8.6e+08    1.5e+06          -999.99
2018 07 22    3.0e+05  1.8e+04  3.5e+03   1.8e+09    5.3e+06          -999.99
