:Product: Daily Geomagnetic Data     quar_DGD.txt
:Issued: 1530 UT 23 Feb 2022
#
#  Prepared by the U.S. Dept. of Commerce, NOAA, Space Weather Prediction Center
#  Please send comment and suggestions to SWPC.Webmaster@noaa.gov
#
#             Current Quarter Daily Geomagnetic Data
#
#
#                Middle Latitude        High Latitude            Estimated
#              - Fredericksburg -     ---- College ----      --- Planetary ---
#  Date        A     K-indices        A     K-indices        A     K-indices
2022 01 01     9  2 3 3 2 1 2 2 2    10  0 3 3 3 3 2 2 1    11  2 4 3 2 2 3 3 2
2022 01 02     7  2 1 1 2 1 2 2 3     7  1 1 1 2 2 3 2 2    10  3 2 1 2 1 3 2 3
2022 01 03     9  1 3 3 3 2 2 1 1    14  2 3 4 5 1 1 1 1    12  2 4 4 3 2 2 1 2
2022 01 04     5  2 2 1 2 1 2 1 0     5  1 2 1 3 3 0 0 0     6  3 3 1 2 1 0 0 1
2022 01 05     3  0 2 0 1 1 2 1 0     1  0 0 0 0 1 1 0 0     3  1 2 0 0 1 2 0 0
2022 01 06     2  0 1 0 0 1 2 1 0     0  0 0 0 0 0 0 0 0     2  0 0 0 0 0 0 1 0
2022 01 07     1  0 0 0 0 1 2 0 0     0  0 0 0 0 0 0 0 0     2  0 0 0 0 0 0 0 0
2022 01 08     9  0 0 1 1 2 2 4 4     4  0 0 1 0 2 1 3 2    14  0 0 1 1 1 2 5 5
2022 01 09     7  2 2 2 1 2 2 2 2    12  4 2 2 2 4 2 2 1    10  3 3 2 1 2 1 2 3
2022 01 10     4  3 2 0 0 1 1 1 1     2  1 1 0 0 2 0 1 1     6  3 2 1 0 1 2 2 2
2022 01 11     3  1 1 1 1 1 2 1 0     3  0 1 2 0 2 2 1 0     5  1 2 1 1 2 2 1 0
2022 01 12     3  0 1 0 0 2 2 2 1     0  0 0 0 0 0 0 0 0     4  1 1 1 0 1 1 1 1
2022 01 13     3  0 0 0 1 1 2 2 1     0  0 0 0 0 0 0 0 0     3  1 0 0 1 0 0 1 1
2022 01 14    10  0 0 1 1 2 3 2 5     8  0 0 1 0 2 3 4 3    15  0 0 1 1 1 3 4 6
2022 01 15    17  4 4 2 1 3 3 3 4    36  4 3 2 4 6 6 4 4    22  5 3 3 2 3 3 4 5
2022 01 16    16  4 4 2 1 3 3 3 3    35  4 3 2 4 6 6 4 3    19  5 3 3 2 3 3 4 3
2022 01 17     6  3 0 1 2 2 2 1 2    13  3 1 1 3 4 4 2 2     9  3 1 1 2 3 3 2 2
2022 01 18    12  4 3 2 2 2 3 2 2    24  4 2 5 4 4 4 3 3    18  5 3 3 2 3 3 3 3
2022 01 19    15  5 3 4 2 2 2 1 1    25  5 5 3 4 5 1 2 2    23  6 5 4 3 3 2 2 2
2022 01 20     5  4 0 0 0 1 1 2 1     2  2 1 1 0 0 1 1 0     5  3 1 1 0 1 1 1 1
2022 01 21     5  0 0 0 1 2 2 2 3     4  1 0 0 2 1 2 2 2     8  1 0 1 1 2 2 3 3
2022 01 22     7  2 3 2 1 2 1 1 2    13  1 3 2 4 4 3 1 2    10  3 3 2 2 2 2 2 3
2022 01 23     7  2 3 2 2 1 2 2 1    -1  2 2 2 0-1-1-1-1     8  3 3 2 2 2 1 1 1
2022 01 24     3  0 0 0 1 2 2 1 1     1 -1 0 0 1 0 0 1 0     4  1 0 1 1 1 1 1 2
2022 01 25    10  2 2 2 3 3 3 2 2    23  2 2 2 6 3 5 3 2    13  2 3 3 3 3 3 3 3
2022 01 26     8  2 2 2 3 1 2 2 2    12  2 1 2 4 4 2 2 2    10  2 2 3 3 2 2 2 3
2022 01 27     5  1 1 1 1 2 2 2 2     9  1 0 2 4 4 1 1 1     7  1 1 1 2 2 2 3 3
